questions,answer,category
Bagaimana proses daftar ulang untuk mahasiswa lama?,Proses daftar ulang untuk mahasiswa lama dapat diakses di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana cara daftar ulang untuk mahasiswa baru?,Anda dapat melakukan daftar ulang sebagai mahasiswa baru di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana cara mengajukan pengambilan cuti kuliah?,Proses pengajuan pengambilan cuti kuliah dapat diakses di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana prosedur untuk membatalkan penambahan mata kuliah?,Anda bisa membatalkan penambahan mata kuliah melalui https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana cara mengajukan permohonan transkrip dan ijazah dalam bahasa Inggris?,Informasi mengenai pengajuan permohonan transkrip dan ijazah dalam bahasa Inggris dapat ditemukan di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana cara mempercepat pencetakan ijazah?,Proses percepatan pencetakan ijazah dapat diakses di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana proses seleksi alih program (SAP)?,Informasi tentang proses seleksi alih program (SAP) dapat ditemukan di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana cara mengikuti sidang skripsi?,Anda dapat mengikuti sidang skripsi dengan mengikuti prosedur yang tertera di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Bagaimana cara mengajukan izin tidak masuk kuliah?,Proses pengajuan izin tidak masuk kuliah dapat diakses di https://filkom.ub.ac.id/layanan-fasilitas/pelayanan-umum/.,Akademik
Apa langkah-langkah yang harus diikuti oleh mahasiswa untuk menjalani proses yudisium?,"        1. Mahasiswa yang telah melakukan ujian skripsi akan mendapatkan form S-02 dari akademik.
        2. Mahasiswa perlu melengkapi form S-02 dalam waktu maksimal 1 bulan.
        3. Akademik akan memverifikasi form S-02 yang telah diselesaikan.
        4. Akademik akan menyiapkan proses yudisium.
        5. Mahasiswa akan mengikuti yudisium dan setelahnya mendapatkan SKL dan transkrip.",Akademik
Apa langkah-langkah yang harus diambil mahasiswa dalam mengajukan judul skripsi?,"1. Mahasiswa perlu menyerahkan form SP-01, KRS yang menunjukkan telah memprogram skripsi, serta screen shot SIAM yang membuktikan bahwa sks yang telah ditempuh lebih besar atau sama dengan 120 sks kepada akademik program studi.
2. Akademik program studi akan menginputkan data ke monitor dalam waktu sekitar 20 menit.
3. Selanjutnya, sekprodi/kaprodi akan membagi lab sesuai dengan topik judul skripsi, yang memakan waktu satu hari.
4. Akademik prodi akan mendistribusikan ke setiap lab dalam waktu satu hari.
5. Kepala lab akan mengusulkan 3 dosen pembimbing skripsi dalam waktu 3 hari.
6. Kaprodi akan menetapkan 2 dosen pembimbing skripsi dalam waktu 2 hari.
7. Akademik prodi akan membuat surat tugas pembimbing dan mahasiswa akan mendapatkannya setelah 4 hari.",Akademik
Apa prosedur yang harus diikuti mahasiswa untuk mengambil semester pendek?,"1. Akademik FILKOM akan mengumumkan mata kuliah yang dibuka dengan persyaratan minimal 10 orang yang akan mengambil.
2. Mahasiswa dapat mendaftar sebagai peserta sementara semester pendek dengan mengisi form yang akan dibagikan.
3. Himpunan mahasiswa berperan dalam membuat surat pengajuan diselenggarakannya semester pendek untuk mata kuliah yang belum ditawarkan.
4. Mahasiswa dapat mengisi mata kuliah sesuai dengan yang dibuka.
5. Mahasiswa perlu membayar biaya semester pendek sebesar 100 ribu per SKS.
6. Setelah pembayaran, mahasiswa dapat melakukan input KRS pada SIAM.
7. Dosen PA akan melakukan validasi KRS.
8. Semester pendek akan berjalan selama 1 bulan.",Akademik
Apa langkah-langkah yang harus diambil oleh mahasiswa untuk mengurus surat keterangan lulus?,"Mahasiswa perlu menunjukkan lembar SO2 yang telah diselesaikan kepada bagian akademik.
Bagian akademik akan mengadakan yudisium dan menyatakan bahwa mahasiswa telah lulus.
Bagian akademik akan mengeluarkan surat keterangan lulus yang telah ditandatangani oleh kaprodi.",Akademik
Apa prosedur yang harus diikuti mahasiswa untuk mendapatkan KHS yang dilegalisir?,"Mahasiswa perlu mengajukan permohonan kutipan daftar nilai dengan menunjukkan KTM di bagian akademik.
Bagian akademik akan mencetak kutipan nilai dan meminta paraf kepada Ka Subbag Akademik.
Akademik akan memintakan tanda tangan kaprodi untuk legalitas.
Akademik akan melegalkan kutipan nilai dengan stempel untuk mendapatkan KHS yang dilegalisir.",Akademik
Bagaimana prosedur atau tahapan yang harus diikuti mahasiswa dalam menjalani sidang?,"Setelah melakukan seminar hasil, mahasiswa meminta Form S-01 dan mengisinya, kemudian diserahkan kembali ke akademik prodi.
Akademik prodi melakukan penjadwalan dan mencetak form persetujuan sidang jika kuota 3 mahasiswa terpenuhi dalam waktu 1 hari.
Mahasiswa meminta persetujuan dari dosen pembimbing dan penguji, serta persetujuan dari kaprodi selama satu hari.
Jika tidak disetujui, akademik perlu menjadwalkan ulang. Jika disetujui, akademik membuat draft SK acara sidang dan majelis penguji skripsi yang dikirim ke ketua PSIK dan didistribusikan ke masing-masing dosen yang terlibat.
Akademik prodi menyiapkan berkas ujian beserta undangan sidang.
Mahasiswa mengambil berkas ujian beserta undangan di bagian akademik prodi untuk didistribusikan kepada dosen pembimbing dan dosen penguji.
Akademik menginput jadwal sidang ke FILKOM APPS.
Akademik mencetak berkas acara sidang.
Akademik mempersiapkan ruangan dan acara sidang, meminta berkas penilaian kepada dosen pembimbing, menyerahkan form revisi sidang, mengarsip berkas sidang, dan memvalidasi kelulusan mahasiswa.
Selanjutnya, mahasiswa perlu menyelesaikan Form S-02.",Akademik
Apa langkah yang harus diambil jika persetujuan sidang tidak disetujui?,"Jika persetujuan sidang tidak disetujui, akademik akan menjadwalkan ulang dan mahasiswa perlu meminta persetujuan kembali setelah penjadwalan ulang.",Akademik
Bagaimana langkah selanjutnya setelah mahasiswa menyelesaikan Form S-02?,"Setelah menyelesaikan Form S-02, mahasiswa akan melanjutkan proses administratif dan akademik lainnya sesuai dengan aturan yang berlaku di program studinya.",Akademik
Bagaimana proses pengajuan Praproposal Skripsi?,"Mahasiswa harus mengambil bidang kajian skripsi sesuai dengan keminatan studi, telah mengambil minimal 1 matakuliah pendukung, dan mengajukan Praproposal ke FILKOM Apps. Verifikasi kesesuaian dilakukan saat pengajuan.",Akademik
Apa syarat dan waktu pengajuan Praproposal?,"Pengajuan Praproposal dapat dilakukan sewaktu-waktu sepanjang semester, dengan catatan memenuhi syarat pengajuan dan menggunakan formulir Praproposal (SA2-01A).",Akademik
Bagaimana proses pengajuan Proposal Skripsi?,"Mahasiswa yang telah mendapatkan kesediaan Calon Pembimbing dari Praproposal, mempersiapkan proposal skripsi dan mengunggahnya ke FILKOM Apps pada rentang waktu yang ditentukan.",Akademik
Bagaimana proses verifikasi Proposal Skripsi?,"Akademik Jurusan melakukan verifikasi persyaratan. Jika memenuhi, Pembimbing 1 mengisi formulir kelayakan. Kaprodi memberikan persetujuan atau merevisi proposal skripsi.",Akademik
Bagaimana penentuan dan penetapan Pembimbing?,"Setelah persetujuan kelayakan, Kaprodi menentukan Calon Pembimbing 2. Calon Pembimbing 2 dapat menolak dengan alasan tertentu. Surat Tugas Pembimbing diterbitkan setelah persetujuan Kajur.",Akademik
Bagaimana proses penerbitan Surat Tugas Pembimbing?,Kajur memberikan persetujuan terhadap usulan Calon Pembimbing dan menerbitkan Surat Tugas Pembimbing (SA2-05). Nomor surat tugas diberikan oleh Akademik Jurusan.,Akademik
Apa yang harus dilakukan setelah dikeluarkannya Surat Tugas Pembimbing?,Mahasiswa melakukan presentasi proposal skripsi (P0). Pembimbing 1 memberikan rekomendasi status skripsi: DILANJUTKAN atau GAGAL.,Akademik
Apa yang terjadi jika mahasiswa dinyatakan GAGAL pada P0?,"Jika GAGAL, mahasiswa harus kembali ke Praproposal pada semester berikutnya dengan memenuhi kondisi tertentu.",Akademik
Bagaimana verifikasi pelaksanaan P0?,Pembimbing 2 memberikan persetujuan terhadap target dan rekomendasi yang telah diisi Pembimbing 1.,Akademik
Kapan mahasiswa dapat memasuki proses P1?,Mahasiswa dapat memasuki P1 setelah mencapai minimal 3 kali bimbingan yang di-setujui oleh Pembimbing pada Logbook Skripsi.,Akademik
Apa yang dilakukan Pembimbing 1 pada P1?,Pembimbing 1 memberikan rekomendasi untuk penerbitan berita acara P1 atau melakukan perubahan nilai pada proses Verifikasi Penilaian Kemajuan.,Akademik
Kapan mahasiswa dapat memasuki proses P2?,Mahasiswa dapat memasuki P2 setelah mencapai minimal 6 kali bimbingan yang di-setujui pada Logbook Skripsi.,Akademik
Apa yang dilakukan Pembimbing 2 pada P2?,Pembimbing 2 memberikan rekomendasi untuk penerbitan berita acara P2 atau melakukan perubahan nilai pada proses Verifikasi Penilaian Kemajuan.,Akademik
Bagaimana proses pendaftaran seminar hasil dan ujian skripsi?,Mahasiswa dapat mendaftarkan seminar hasil dan ujian setelah mencapai minimal 8 kali bimbingan yang di-setujui pada FILKOM Apps.,Akademik
Bagaimana pelaksanaan seminar hasil?,"Seminar hasil diatur setelah pendaftaran lengkap. Sekjur menetapkan fasilitator, Akademik Jurusan membuat undangan dan SK seminar hasil. Mahasiswa menerima undangan dan menyerahkan ke fasilitator.",Akademik
Bagaimana pelaksanaan ujian skripsi?,"Setelah seminar hasil, Sekjur menetapkan majelis penguji. Akademik Jurusan membuat undangan ujian skripsi dan SK ujian skripsi. Mahasiswa menerima undangan. Majelis penguji melakukan penilaian ujian skripsi.",Akademik
Bagaimana prosedur pengajuan Surat Tugas Dosen Pembimbing Lomba?,Pengajuan Surat Tugas Dosen Pembimbing Lomba dapat dilakukan melalui http://s.ub.ac.id/prestasi,Akademik
Bagaimana proses validasi syarat wisuda di FILKOM UB?,Tata Cara Validasi Syarat Wisuda dapat dilihat melalui langkah-langkah yang tertera di link berikut: https://filkom.ub.ac.id/kemahasiswaan/informasi-wisuda/,Akademik
Bagaimana cara pendaftaran Wisuda Ulang di FILKOM UB?,Pendaftaran Wisuda Ulang dapat dilakukan melalui link: https://s.ub.ac.id/wisudaulang,Akademik
Apa peran Yudisium di FILKOM UB dan bagaimana cara memperoleh informasi terkait Yudisium?,"Yudisium memiliki peran penting dalam menandai kelulusan mahasiswa. Informasi terkait Yudisium, Periode Yudisium, dan Daftar Mahasiswa dapat dilihat pada link: https://filkom.ub.ac.id/kemahasiswaan/info-yudisium/",Akademik
"Jika saya ingin mengetahui informasi tentang Yudisium di FILKOM UB, ke mana saya harus menghubungi?","Untuk informasi mengenai Yudisium, silakan menghubungi Yudisium WA Center di nomor WhatsApp: 0811 3200 7577.",Akademik
Bagaimana saya bisa mendapatkan panduan atau bantuan teknis terkait studi di FILKOM UB?,"Untuk panduan atau bantuan teknis, Anda dapat menghubungi Akademik WA Center untuk pertanyaan umum di nomor WhatsApp: 0811 3225 7272.",Akademik
Bagaimana proses pengajuan sertifikat Yudisium di FILKOM UB?,"Untuk informasi lebih lanjut tentang proses pengajuan sertifikat Yudisium, Anda dapat menghubungi Yudisium WA Center di nomor WhatsApp: 0811 3200 7577.",Akademik
Apa saja dokumen resmi akademik dari FILKOM UB yang tersedia?,"   - Buku Pedoman Akademik FILKOM UB
   - Panduan Penyelesaian dan Evaluasi Praktik Kerja Lapangan (PKL)
   - Buku Kurikulum prodi Teknik Komputer
   - Buku Kurikulum prodi Sistem Informasi
   - Buku Kurikulum prodi Pendidikan Teknologi Informasi 2020
   - Standar Pembelajaran dalam Jaringan
   - Pedoman Penilaian dan Perhitungan Indeks Prestasi PTIIK
   - Surat Keterangan Pendamping Ijazah (SKPI)
   - Pedoman Pendidikan Universitas Brawijaya TA 2016/2017
   - Tata Tertib Pelaksanaan Ujian (UTS & UAS) FILKOM UB
   - Form Ijin Tidak Masuk Kuliah
   - Form Pernyataan dan Pembebasan Evaluasi Studi
   - Form Pembukaan Blokir Keterlambatan Pembayaran UKT
   - Form Rancangan Perkuliahan
   - Edaran Dekan Tentang Perubahan Mekanisme Pemberkasan Seminar Hasil Skripsi & Seminar Hasil PKL",Akademik
Dapatkah saya mendapatkan Buku Pedoman Akademik FILKOM UB?,"Ya, Anda dapat mengunduh Buku Pedoman Akademik FILKOM UB di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Buku-Pedoman-Akademik-FILKOM-2020.pdf",Akademik
Apakah ada panduan untuk Penyelesaian dan Evaluasi Praktik Kerja Lapangan (PKL)?,"Ya, panduan tersebut dapat diakses di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/11/Panduan_PKL_2018.pdf",Akademik
Bagaimana cara mendapatkan informasi tentang Standar Pembelajaran dalam Jaringan?,Anda dapat membaca Standar Pembelajaran dalam Jaringan di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Standar-Pembelajaran-Dalam-Jaringan.pdf,Akademik
Apakah ada pedoman penilaian dan perhitungan indeks prestasi dari PTIIK?,"Ya, Anda dapat mengakses Pedoman Penilaian dan Perhitungan Indeks Prestasi PTIIK di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/Pedoman_Penilaian_dan_Perhitungan_Indeks_Prestasi_PTIIK.pdf",Akademik
Dapatkah saya mendapatkan Surat Keterangan Pendamping Ijazah (SKPI)?,"Ya, SKPI dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/28_SKPI-Prodi-Informatika1.-1.docx",Akademik
Apakah ada Tata Tertib Pelaksanaan Ujian (UTS & UAS) FILKOM UB?,"Ya, Tata Tertib Pelaksanaan Ujian dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/Tata_Tertib_Pelaksanaan_UTS_dan_UAS_2.pdf",Akademik
Bagaimana cara mengajukan Form Ijin Tidak Masuk Kuliah?,Anda dapat mengunduh Form Ijin Tidak Masuk Kuliah di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/12_form_Ijin_Tidak_Masuk_Kuliah.docx,Akademik
Dapatkah saya mendapatkan Form Pernyataan dan Pembebasan Evaluasi Studi?,"Ya, Form Pernyataan dan Pembebasan Evaluasi Studi dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/08/FORM_PERNYATAAN_dan_PEMBEBASAN_EVALUASI_STUDI-1.docx",Akademik
Apakah ada Form Rancangan Perkuliahan yang dapat diakses?,"Ya, Form Rancangan Perkuliahan dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/FORM_RENCANA_STUDI.docx",Akademik
Apakah ada edaran dekan terbaru tentang perubahan mekanisme pemberkasan seminar hasil skripsi dan seminar hasil PKL?,"Ya, edaran terbaru dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2022/12/SK-F15-4438-Surat-Edaran-Perubahan-Mekanisme-Pemberkasan-Seminar-Hasil-Skripsi-dan-Seminar-Hasil-PKL-1.pdf",Akademik
Apakah ada buku kurikulum untuk Program Studi Teknik Komputer di FILKOM UB?,Buku Kurikulum prodi Teknik Komputer dapat diakses di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Buku-Kurikulum-Program-Studi-Teknik-Komputer-Tahun-2020.pdf,Akademik
Dapatkah saya mendapatkan informasi mengenai Buku Kurikulum Program Studi Sistem Informasi?,Buku Kurikulum prodi Sistem Informasi dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Buku-Kurikulum-Program-Studi-Sistem-Informasi-Tahun-2020..pdf,Akademik
Bagaimana saya dapat mengakses Buku Kurikulum Program Studi Pendidikan Teknologi Informasi tahun 2020?,Informasi mengenai kurikulum prodi Pendidikan Teknologi Informasi dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Buku-Kurikulum-Program-Studi-Pendidikan-Teknologi-Informasi-Tahun-2020.pdf,Akademik
Apakah terdapat Pedoman Pendidikan Universitas Brawijaya untuk tahun ajaran 2016/2017?,Pedoman Pendidikan Universitas Brawijaya untuk tahun ajaran 2016/2017 dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/PEDOMAN_UB_PUSAT_201617.pdf,Akademik
Dapatkah saya mendapatkan informasi mengenai Form Rancangan Perkuliahan?,Form Rancangan Perkuliahan dapat diakses di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/FORM_RENCANA_STUDI.docx,Akademik
Apakah ada perubahan terkini dalam mekanisme pemberkasan seminar hasil skripsi dan seminar hasil PKL menurut edaran dekan?,"Iya, edaran terbaru tentang perubahan mekanisme pemberkasan seminar hasil skripsi dan seminar hasil PKL dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2022/12/SK-F15-4438-Surat-Edaran-Perubahan-Mekanisme-Pemberkasan-Seminar-Hasil-Skripsi-dan-Seminar-Hasil-PKL-1.pdf",Akademik
Bagaimana cara mengisi Form Ijin Tidak Masuk Kuliah?,Instruksi pengisian Form Ijin Tidak Masuk Kuliah dapat ditemukan pada formulir itu sendiri yang dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/12_form_Ijin_Tidak_Masuk_Kuliah.docx,Akademik
Dapatkah saya mengakses Standar Pembelajaran dalam Jaringan dari FILKOM UB?,"Ya, Standar Pembelajaran dalam Jaringan dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Standar-Pembelajaran-Dalam-Jaringan.pdf",Akademik
Bagaimana prosedur pengisian Form Pernyataan dan Pembebasan Evaluasi Studi?,"Instruksi pengisian Form Pernyataan dan Pembebasan Evaluasi Studi dapat ditemukan pada formulir tersebut, yang dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/08/FORM_PERNYATAAN_dan_PEMBEBASAN_EVALUASI_STUDI-1.docx",Akademik
Apakah ada informasi terbaru mengenai Tata Tertib Pelaksanaan Ujian (UTS & UAS) FILKOM UB?,"Ya, Tata Tertib Pelaksanaan Ujian (UTS & UAS) FILKOM UB dapat diakses di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/Tata_Tertib_Pelaksanaan_UTS_dan_UAS_2.pdf",Akademik
Dapatkah saya mendapatkan informasi lebih lanjut mengenai Panduan Penyelesaian dan Evaluasi Praktik Kerja Lapangan (PKL)?,"Ya, panduan lengkap dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/11/Panduan_PKL_2018.pdf",Akademik
Dapatkah saya mengakses Surat Keterangan Pendamping Ijazah (SKPI) untuk Prodi Informatika?,"Ya, Surat Keterangan Pendamping Ijazah (SKPI) untuk Prodi Informatika dapat diunduh di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/04/28_SKPI-Prodi-Informatika1.-1.docx).",Akademik
Apakah ada informasi terkait dengan Edaran Dekan tentang perubahan mekanisme pemberkasan seminar hasil skripsi dan seminar hasil PKL?,"Ya, informasi terkait perubahan mekanisme pemberkasan seminar hasil skripsi dan seminar hasil PKL dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2022/12/SK-F15-4438-Surat-Edaran-Perubahan-Mekanisme-Pemberkasan-Seminar-Hasil-Skripsi-dan-Seminar-Hasil-PKL-1.pdf",Akademik
Bagaimana saya dapat memperoleh informasi terbaru tentang event atau perubahan penting di FILKOM UB?,"Untuk informasi terbaru mengenai event atau perubahan penting di FILKOM UB, Anda dapat memantau situs web resmi, papan pengumuman kampus, atau menghubungi pihak administrasi di FILKOM UB.",Akademik
Bagaimana cara mendapatkan informasi lebih lanjut tentang isi Buku Kurikulum Program Studi Pendidikan Teknologi Informasi tahun 2020?,Informasi lebih lanjut tentang isi Buku Kurikulum Program Studi Pendidikan Teknologi Informasi tahun 2020 dapat ditemukan [di sini](https://filkom.ub.ac.id/wp-content/uploads/2021/09/Buku-Kurikulum-Program-Studi-Pendidikan-Teknologi-Informasi-Tahun-2020.pdf,Akademik
Apakah ada perbedaan antara Buku Pedoman Akademik FILKOM UB dan Pedoman Pendidikan Universitas Brawijaya TA 2016/2017?,"Ya, Buku Pedoman Akademik FILKOM UB berkaitan dengan kebijakan dan prosedur akademik di tingkat fakultas, sementara Pedoman Pendidikan Universitas Brawijaya mencakup kebijakan universitas secara keseluruhan untuk tahun ajaran tertentu",Akademik
Apakah ada batas waktu pengajuan Form Ijin Tidak Masuk Kuliah yang perlu diikuti?,Batas waktu pengajuan Form Ijin Tidak Masuk Kuliah dapat dicantumkan pada formulir itu sendiri atau dapat dikonfirmasi dengan pihak administrasi atau dosen pembimbing di FILKOM UB,Akademik
Dapatkah saya mendapatkan informasi lebih lanjut tentang Standar Pembelajaran dalam Jaringan yang diadopsi oleh FILKOM UB?,Informasi lebih lanjut mengenai Standar Pembelajaran dalam Jaringan yang diadopsi oleh FILKOM UB dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/09/Standar-Pembelajaran-Dalam-Jaringan.pdf,Akademik
Dapatkah saya mendapatkan informasi lebih lanjut tentang isi Panduan Penyelesaian dan Evaluasi Praktik Kerja Lapangan (PKL)?,Informasi lebih lanjut mengenai isi Panduan Penyelesaian dan Evaluasi Praktik Kerja Lapangan (PKL) dapat ditemukan di sini : https://filkom.ub.ac.id/wp-content/uploads/2021/11/Panduan_PKL_2018.pdf,Akademik
Apakah Surat Keterangan Pendamping Ijazah (SKPI) hanya berlaku untuk mahasiswa Program Studi Informatika?,"Surat Keterangan Pendamping Ijazah (SKPI) mungkin berlaku untuk mahasiswa dari Program Studi Informatika. Namun, untuk informasi lebih lanjut dan kepastian, Anda dapat menghubungi pihak administrasi di FILKOM UB.",Akademik
Apakah Form Pernyataan dan Pembebasan Evaluasi Studi hanya diperlukan dalam kondisi tertentu?,"Form Pernyataan dan Pembebasan Evaluasi Studi mungkin diperlukan dalam kondisi tertentu. Pastikan untuk membaca petunjuk pengisian dan memahami situasi di mana formulir tersebut diperlukan, atau dapat dikonfirmasi melalui pihak akademik.",Akademik
Apakah ada perubahan signifikan dalam Edaran Dekan tentang mekanisme pemberkasan seminar hasil skripsi dan seminar hasil PKL dibandingkan dengan aturan sebelumnya?,"Untuk mengetahui apakah ada perubahan signifikan, Anda dapat membandingkan Edaran Dekan terbaru dengan aturan sebelumnya. Edaran terbaru dapat diakses [di sini](https://filkom.ub.ac.id/wp-content/uploads/2022/12/SK-F15-4438-Surat-Edaran-Perubahan-Mekanisme-Pemberkasan-Seminar-Hasil-Skripsi-dan-Seminar-Hasil-PKL-1.pdf",Akademik
Bagaimana cara mendapatkan Panduan Satuan Kegiatan Kemahasiswaan (SKM) versi terbaru?,Kamu dapat mengunduh Panduan SKM versi terbaru tahun 2020 melalui tautan berikut: https://filkom.ub.ac.id/wp-content/uploads/2021/11/Buku-Panduan-SKM-FILKOM-UB-2020.pdf,Akademik
Bagaimana prosedur pengajuan Surat Keterangan Tidak Sedang Menerima Beasiswa (Beasiswa Ganda)?,"Untuk prosedur pengajuan Surat Keterangan Tidak Sedang Menerima Beasiswa (Beasiswa Ganda), silakan lihat dokumen yang telah disediakan di tautan berikut: https://filkom.ub.ac.id/wp-content/uploads/2023/01/Surat-Keterangan-Tidak-Menerima-Beasiswa-Ganda-2023.docx",Akademik
Bagaimana langkah-langkah mengajukan Surat Permohonan Dispensasi/Ijin?,Kamu dapat mengikuti format pengajuan Surat Permohonan Dispensasi/Ijin yang telah disediakan di tautan berikut: https://filkom.ub.ac.id/wp-content/uploads/2023/01/Permohonan-Dispensasi-2023.docx,Akademik
